commit_hash,date,subject,files_changed,insertions,deletions
55275b2e4627c90a76d01620dcf54a99988b91b0,2026-03-25 00:55:52 +0000,Update royalty rate splits and add growth/Canada strategy documents,consolidation files/Canada-Big-5-Revenue-Simulation.md|consolidation files/Capital-Partner-Strategy.md|consolidation files/Competitive-Landscape-Analysis.md|consolidation files/Growth-Acceleration-Strategy.md|consolidation files/Investor-Briefing-v2.1.md|consolidation files/Revenue-Projection-Model.md,642,83
0bfb5bb83e3ee91550aaf10749d7497a0c8ff8c6,2026-03-24 04:39:25 +0000,Update all documentation for new fee shares (30/55/80),EPIGNOSIS_ARCHITECTURE_REVIEW.md|LIP_COMPLETE_NARRATIVE.md|README.md|consolidation files/Capital-Partner-Strategy.md|consolidation files/Founder-Financial-Model.md|consolidation files/Unit-Economics-Exhibit.md|docs/architecture.md|docs/bank-pilot/commercial-overview.md|docs/c1-model-card.md|docs/c2-model-card.md|docs/developer-guide.md|lip/c3_repayment_engine/README.md|lip/c8_license_manager/README.md|lip/common/deployment_phase.py|lip/common/schemas.py,47,47
a8621c63f250d0adf85eb2d8dec3f67cf4c65782,2026-03-24 04:33:29 +0000,"Update BPI fee shares: Phase 1 30%, Phase 2 55%, Phase 3 80%",lip/c2_pd_model/fee.py|lip/c3_repayment_engine/repayment_loop.py|lip/common/constants.py|lip/common/deployment_phase.py|lip/scripts/simulate_pipeline.py|lip/tests/test_deployment_phase.py|lip/tests/test_fee_arithmetic.py|lip/tests/test_simulation_script.py,54,54
b58adc2786506c5acd20953b040fda7997cbcc82,2026-03-09 20:42:38 +0000,test(chaos): add 46 failure-mode tests + fix CI to include e2e suite,.github/workflows/ci.yml|lip/tests/test_failure_modes.py,447,4
a32a9363927a9ea4ac68925caecc3eaaf1801dac,2026-03-09 20:33:42 +0000,fix(c4): expand prefilter keyword set to close multilingual FN gap,CLAUDE.md|lip/c4_dispute_classifier/prefilter.py,27,3
b5aca8d8e9d369cb0e300abb7af1371c7d7d5f0d,2026-03-09 15:50:10 +0000,ci: retrigger CI after concurrency fix,,0,0
bdf4c9951893e38d36470952bd24e70ff39fbac3,2026-03-09 15:46:14 +0000,ci: add concurrency group to cancel stale queued runs,.github/workflows/ci.yml,4,0
962956b9943632d745a9dd843a6f199e40c0078e,2026-03-09 15:30:07 +0000,fix+ci: resolve mypy errors and raise coverage to 84%,.coveragerc|lip/c2_pd_model/model.py|lip/pyproject.toml,37,2
e606178b97c50d253e5480f62a569fddfd445aa2,2026-03-09 15:12:46 +0000,"feat: full-squad sprint — free LLM backend, sanctions loader, Kafka worker, SR 11-7, FORGE",.github/workflows/update-sanctions.yml|lip/c4_dispute_classifier/backends.py|lip/c4_dispute_classifier/model.py|lip/c5_streaming/kafka_worker.py|lip/c6_aml_velocity/aml_checker.py|lip/c6_aml_velocity/data/README.md|lip/c6_aml_velocity/data/sanctions.json|lip/c6_aml_velocity/sanctions_loader.py|lip/common/constants.py|lip/infrastructure/helm/lip/Chart.yaml|lip/infrastructure/helm/lip/templates/_helpers.tpl|lip/infrastructure/helm/lip/templates/hpa.yaml|lip/infrastructure/helm/lip/templates/namespace.yaml|lip/infrastructure/helm/lip/templates/secrets.yaml|lip/infrastructure/helm/lip/values.yaml|lip/infrastructure/kubernetes/hpa.yaml|lip/infrastructure/kubernetes/secrets.yaml|lip/infrastructure/monitoring/alerts.py|lip/infrastructure/monitoring/metrics.py|lip/pyproject.toml|lip/tests/load/__init__.py|lip/tests/load/locustfile.py|lip/tests/test_c4_backends.py|lip/tests/test_c5_kafka_worker.py|lip/train_all.py,2473,6
ccee2ab2e54ca5a468f5b1cb66fac2272f831968,2026-03-09 14:30:34 +0000,fix+forge: align canonical latency SLO + add missing K8s manifests (C2/C3/C4/C6),lip/configs/canonical_numbers.yaml|lip/infrastructure/kubernetes/c2-deployment.yaml|lip/infrastructure/kubernetes/c3-deployment.yaml|lip/infrastructure/kubernetes/c4-deployment.yaml|lip/infrastructure/kubernetes/c6-deployment.yaml,371,2
4736f59f3bcc390cb63643d9a528a53d757459a3,2026-03-09 14:21:49 +0000,"test+ci: InferenceEngine SLO tests, batch consistency guards, mypy required, coverage 75%",.github/workflows/ci.yml|lip/c8_license_manager/boot_validator.py|lip/tests/test_c1_classifier.py,144,5
0a949bed3dd32e4d4982b10284ab39cc1c4b6739,2026-03-09 14:06:18 +0000,perf(c1): vectorise integrated-gradient SHAP via batch forward passes,lip/c1_failure_classifier/inference.py|lip/c1_failure_classifier/model.py|lip/c1_failure_classifier/tabtransformer.py,106,25
467b9a7d5aec97a3a6be1cbf0a34a077319187f0,2026-03-09 07:16:15 +0000,feat(c7+c8): wire LicenseeContext into C7 — licensee_id audit trail + TPS cap,lip/c7_execution_agent/agent.py|lip/c7_execution_agent/decision_log.py|lip/tests/test_c7_execution.py,103,1
445f6883b62caab042cf1d8c89ae776144e4a3ff,2026-03-09 07:10:06 +0000,feat(c8): add LIP License Manager — offline HMAC token enforcement,lip/c8_license_manager/__init__.py|lip/c8_license_manager/boot_validator.py|lip/c8_license_manager/license_token.py|lip/tests/test_c8_license.py,626,0
613d6e25f16afe2eb87a406d5fd883f1d8236628,2026-03-09 07:03:18 +0000,"fix(biz-model): reframe BPI as technology licensor, sync canonical_numbers.yaml",lip/c2_pd_model/fee.py|lip/common/constants.py|lip/common/schemas.py|lip/configs/canonical_numbers.yaml,20,7
ee24b2111f72e7fb629f810dd3f45d74904c9a13,2026-03-09 06:09:26 +0000,feat(quant): add platform royalty model (15% of fee collected),lip/c2_pd_model/fee.py|lip/c3_repayment_engine/repayment_loop.py|lip/common/constants.py|lip/common/schemas.py|lip/tests/test_fee_arithmetic.py,106,1
e658e87f6b6cc28ef7cf389a535f354ecaf50326,2026-03-09 05:40:49 +0000,fix(c1): align latency SLO constants with canonical spec,lip/c1_failure_classifier/inference.py,3,3
a50f74c8545ef8c03ac0143ff4761f1723ff69ab,2026-03-08 16:24:17 +0000,fix+forge: mypy type errors (6 files) + add train_c2 and train_c6 workflows,.github/workflows/train_c2.yml|.github/workflows/train_c6.yml|lip/c1_failure_classifier/embeddings.py|lip/c1_failure_classifier/synthetic_data.py|lip/c3_repayment_engine/settlement_handlers.py|lip/c4_dispute_classifier/training.py|lip/c6_aml_velocity/anomaly.py|lip/dgen/validator.py,314,11
fb2f20c6a9d39816c246a8f3115ac78c429835d8,2026-03-08 16:04:55 +0000,fix: cast Decimal lgd to float before fee_bps multiply in train_all,lip/train_all.py,1,1
1cb8ca707e42f2f73d005ef68261ce052b9adc61,2026-03-08 15:59:04 +0000,fix: pass sending+receiving jurisdiction to lgd_for_corridor in train_all,lip/train_all.py,2,1
10cfff007d4c2d07432b27d8a59cf25271f9244e,2026-03-08 09:17:48 +0000,"QUANT+FORGE: fix LGD hardcode, add GH Actions monitor, add C4 corpus workflow",.github/workflows/train_c4.yml|lip/train_all.py|scripts/monitor_c1_gh.py,411,1
e5ee59cd9b4843b4aa6e1f10776a1d9a16dc89ab,2026-03-08 08:35:38 +0000,"Fix train_c1.yml: setuptools quotes, always regenerate corpus, inline Python",.github/workflows/train_c1.yml,32,39
2da9a1689fc4c401d14928c1b00ccba2412ccdfe,2026-03-08 08:12:53 +0000,Add manual C1 full-training workflow for GitHub Actions,.github/workflows/train_c1.yml,127,0
6e91bb47649f39b98a394afacb9f928e13902a57,2026-03-08 06:24:02 +0000,"Fix C1 validator: adaptive 3σ band at small N, exclude day_of_week from correlation check",lip/dgen/validator.py,25,4
