commit_hash,date,subject,files_changed,insertions,deletions
61dc293f47aedc68a4f0544348bfd943ef4c00bb,2026-04-02 22:45:18 +0000,"ULTRATHINK audit: fix 7 critical/major issues across 8 migration sequences, add 17 new tests",lip/c1_failure_classifier/inference_types.py|lip/c2_pd_model/fee.py|lip/c6_aml_velocity/sanctions_bridge.py|lip/c7_execution_agent/decision_log.py|lip/c7_execution_agent/go_router_client.py|lip/c7_execution_agent/kill_switch_bridge.py|lip/tests/test_c2_fee_formula.py|lip/tests/test_p10_report_generator.py,240,21
10638f79fb9e911a9de087f52064fcc155106435,2026-04-02 22:18:50 +0000,Remove spurious =2.7.0 file accidentally committed,=2.7.0,0,0
be1618d7c6d211335fb304d258e86cfbe855444c,2026-04-02 22:18:32 +0000,"Fix critical/major/minor audit findings: Lua AML caps, kill switch fail-closed, pipeline exception handling, BIC validation, thread safety, canary clamping, fpdf2 dependency",=2.7.0|lip/c1_failure_classifier/inference_types.py|lip/c6_aml_velocity/velocity.py|lip/c7_execution_agent/go_router_client.py|lip/c7_execution_agent/kill_switch.py|lip/c7_execution_agent/kill_switch_bridge.py|lip/pipeline.py|lip/pyproject.toml|requirements.txt,114,39
0dd03031a9ac225dfd0ff680987194fb53456250,2026-04-02 22:17:07 +0000,Initial plan,,0,0
4cb847c67f4c0ab25eca0a8ca094c401c75c57f8,2026-04-02 21:52:15 +0000,Initial plan,,0,0
92424aeea7dc73be6bf192ea31afd0f36f7eab43,2026-04-02 21:42:31 +0000,"C2 fee formula hardening: isolate compute_loan_fee, patch all inline usages, add 59-test suite, add spec doc",docs/specs/c2_fee_formula_hardening.md|lip/api/portfolio_router.py|lip/c2_pd_model/fee.py|lip/dgen/c3_generator.py|lip/tests/test_c2_fee_formula.py|lip/train_all.py,663,11
8f593f36dc75dac115c130d298666c504406ce1a,2026-04-02 21:29:36 +0000,Initial plan,,0,0
a90556075759faa0a3025236ac76311de93898a2,2026-04-02 21:12:11 +0000,feat: C1 inference endpoint Pydantic hardening (Priority 7),docs/specs/c1_inference_endpoint_typing.md|lip/c1_failure_classifier/__init__.py|lip/c1_failure_classifier/inference.py|lip/c1_failure_classifier/inference_types.py|lip/tests/test_c1_inference_types.py,1197,2
63947aeaee41df31990774389710b23857f9b75f,2026-04-02 21:00:26 +0000,Initial plan,,0,0
35a41d677964ec3cd35e19214a810ef4db29962f,2026-04-02 20:32:43 +0000,Add c7_go_router_fallback_total Prometheus counter and 3 new tests; update spec DoD checkboxes,docs/specs/c7_offer_routing_migration.md|lip/c7_execution_agent/agent.py|lip/c7_execution_agent/go_router_client.py|lip/tests/test_c7_go_router.py,94,6
